id_user,nama_user,kata_sandi_user,nama,jenis_kelamin,umur,nomor_jalan,jalan,kecamatan,kota,negara,kode_pos,email,nomor_handphone,nomor_telepon,url_photo
77a383d4-c5d2-41d0-bf66-8d7b5309514e,greenleopard843,golfing,Fatma Ilıcalı,female,52,5506,Kushimoto Sk,Erzincan,Bayburt,Turkey,82241,fatma.ilicali@example.com,(105)-302-8731,(119)-962-1364,https://randomuser.me/api/portraits/women/31.jpg
221efa42-5b7c-4d48-ba5c-62967d2528bc,saddog329,ripple,Evelyn Morris,female,28,3578,South Eastern Highway,Canterbury,Lower Hutt,New Zealand,62005,evelyn.morris@example.com,(909)-378-2351,(938)-762-0417,https://randomuser.me/api/portraits/women/67.jpg
4eabe0f5-cd34-481e-adba-3172bb07ecbc,brownleopard106,lisalisa,Johanan Van Zitteren,male,49,6988,Industrieweg-West,Utrecht,Winsum Fr,Netherlands,9014 KW,johanan.vanzitteren@example.com,(0278) 520793,(06) 22926777,https://randomuser.me/api/portraits/men/7.jpg
d3b13b25-c848-4085-9210-5609aa3bd930,angrypanda153,amazon,Prajna Dsouza,female,52,6098,Kazimar St,Jharkhand,Bihar Sharif,India,45945,prajna.dsouza@example.com,7759196508,8387320568,https://randomuser.me/api/portraits/women/25.jpg
4f34f3ab-bbf2-47e8-88cf-0376d8b84379,purplebear568,renee,فاطمه علیزاده,female,79,3220,قدس,خراسان رضوی,اسلام‌شهر,Iran,55358,ftmh.aalyzdh@example.com,000-92059681,0930-944-6663,https://randomuser.me/api/portraits/women/52.jpg
762ff99c-5410-4b07-941b-8f2fa90d85eb,yellowbird726,bbking,Nicolas Morin,male,39,8029,Bay Ave,Nunavut,Radisson,Canada,V5T 7P3,nicolas.morin@example.com,B00 X60-2114,E15 I49-7889,https://randomuser.me/api/portraits/men/51.jpg
08bdc8d8-5c61-4523-99b9-77c59148aabf,goldenbird622,427900,Ljubica Kojić,female,28,8133,Čitačka,Kosovo-Pomoravlje,Krupanj,Serbia,40031,ljubica.kojic@example.com,022-8956-058,062-0276-286,https://randomuser.me/api/portraits/women/39.jpg
f7ba080c-811f-4318-bad2-40f77aba527b,ticklishfish769,brown1,Frances Rodriquez,female,67,2359,Photinia Ave,Queensland,Dubbo,Australia,4401,frances.rodriquez@example.com,01-1212-5261,0457-481-303,https://randomuser.me/api/portraits/women/10.jpg
c3a84153-fdda-451f-9bb0-8001ea042272,sadcat420,lorena,Laure Gautier,female,74,5934,Rue Chazière,Valais,Bowil,Switzerland,2826,laure.gautier@example.com,079 635 22 98,075 074 61 20,https://randomuser.me/api/portraits/women/60.jpg
56fbdef9-0407-4c4b-b164-b15decd8bb95,lazyostrich326,justin1,Germán Solís,male,29,3003,Continuación China,Nayarit,Zirahuén,Mexico,83840,german.solis@example.com,(606) 377 0298,(647) 720 0263,https://randomuser.me/api/portraits/men/49.jpg
7541d253-50fe-41a2-a604-19ee653ef8a1,lazyrabbit536,whatsup,Taylor Brewer,male,59,9613,New Road,Mayo,Loughrea,Ireland,84303,taylor.brewer@example.com,071-618-3970,081-126-2265,https://randomuser.me/api/portraits/men/17.jpg
303ca4da-e231-4613-b70a-5c2b39563524,crazylion276,magazine,Malinda Heijdra,female,27,7445,Engelkeslaan,Overijssel,De Waal,Netherlands,4445 NS,malinda.heijdra@example.com,(088) 4865332,(06) 93083306,https://randomuser.me/api/portraits/women/79.jpg
4772d4b3-7122-4323-93a2-8b7d24050cd5,goldenswan633,hillary,Emily Ryan,female,64,4979,Spring St,Victoria,Warrnambool,Australia,9895,emily.ryan@example.com,05-8773-3657,0474-036-855,https://randomuser.me/api/portraits/women/23.jpg
48662c85-0a97-41d4-9601-ac718b251995,organicostrich193,pathfind,Rayan Horpestad,female,79,1687,Myrerskogveien,Hedmark,Lillesand,Norway,1890,rayan.horpestad@example.com,72772580,99603248,https://randomuser.me/api/portraits/women/55.jpg
a6944fd2-1b6a-4230-b992-b4298ea25d14,crazymeercat606,camera,آیلین نجاتی,female,29,709,میرزای شیرازی,همدان,اراک,Iran,99352,aylyn.njty@example.com,087-46927597,0966-372-3727,https://randomuser.me/api/portraits/women/43.jpg
8d7c8abf-1b78-4a4e-a709-5bb04fd7bb40,happygorilla297,mikemike,Julija Ilić,female,38,4780,Porodice Josipović,Prizren,Ćićevac,Serbia,39501,julija.ilic@example.com,012-1491-653,064-9069-745,https://randomuser.me/api/portraits/women/79.jpg
a6f79c7a-a4f7-4080-a1ef-799d6579480b,silverrabbit163,stanford,Micheal Kennedy,male,75,1445,Marsh Ln,Western Australia,Tweed,Australia,5800,micheal.kennedy@example.com,02-9279-5068,0417-824-187,https://randomuser.me/api/portraits/men/6.jpg
c7572f91-d6ec-4024-a44a-9a4f9880a994,purplecat769,646464,Garance Gonzalez,female,50,3040,Rue du Bât-D'Argent,Territoire De Belfort,Champigny-sur-Marne,France,67886,garance.gonzalez@example.com,05-88-75-32-08,06-60-60-69-09,https://randomuser.me/api/portraits/women/89.jpg
b82b662c-a68c-4694-93ec-dee6db846323,purplefrog386,teens,Christian Moreno,male,60,5551,Calle de Alberto Aguilera,Castilla la Mancha,Ciudad Real,Spain,63711,christian.moreno@example.com,930-786-760,675-339-155,https://randomuser.me/api/portraits/men/67.jpg
48e7a1e6-0e55-419a-8681-0f567698b0f4,whitebutterfly392,belly,Brittany Hanson,female,26,894,Forest Ln,West Virginia,Hartford,United States,41380,brittany.hanson@example.com,(441) 965-2191,(518) 845-3944,https://randomuser.me/api/portraits/women/40.jpg
97cfce74-5f55-41f6-9d94-139ccc55a8cc,tinytiger113,soccer10,Victoire Leclerc,female,65,6755,Place du 8 Novembre 1942,Seine-Saint-Denis,Grenoble,France,52769,victoire.leclerc@example.com,05-52-16-06-80,06-37-60-14-08,https://randomuser.me/api/portraits/women/10.jpg
6ae99130-4062-4f9f-bfc5-022975b1f86f,heavycat902,trout,Regiane Costa,female,57,1050,Rua Carlos Gomes,Rondônia,Rio Branco,Brazil,19444,regiane.costa@example.com,(40) 6035-9664,(19) 6220-6278,https://randomuser.me/api/portraits/women/18.jpg
ba9a10f9-c3bc-438d-9ceb-1546da39a2b6,bigfish524,chevrole,Louis Jones,male,47,676,Universal Drive,Taranaki,Whangarei,New Zealand,54057,louis.jones@example.com,(026)-147-6328,(781)-561-4070,https://randomuser.me/api/portraits/men/18.jpg
c0bf5217-085c-4349-8ec7-db79f3c9ecaa,purpleleopard319,celeb,Andrew Schimmel,male,44,643,Eichenweg,Mecklenburg-Vorpommern,Emmelshausen,Germany,74977,andrew.schimmel@example.com,0257-6110532,0176-3813099,https://randomuser.me/api/portraits/men/56.jpg
46b3cd85-3fc7-4a39-9662-1d5859663bdd,smallleopard622,millwall,Grace Costa,female,34,3859,Rua Maranhão ,Bahia,Nossa Senhora do Socorro,Brazil,87871,grace.costa@example.com,(05) 5246-6198,(95) 9128-8517,https://randomuser.me/api/portraits/women/34.jpg
27e2a957-f0be-4c79-9fbf-3109702b7827,whitewolf681,elvis,Austin Wang,male,39,3083,Innes Road,Taranaki,New Plymouth,New Zealand,84035,austin.wang@example.com,(861)-128-8772,(751)-824-6006,https://randomuser.me/api/portraits/men/41.jpg
093c0aa7-7dbc-411b-94f3-be90ad2bd372,brownfrog244,chevy,Alexis Blanc,male,51,1509,Place de L'Abbé-Georges-Hénocque,Haute-Corse,Villeurbanne,France,26923,alexis.blanc@example.com,01-50-00-50-00,06-44-09-84-99,https://randomuser.me/api/portraits/men/60.jpg
0d626043-c96c-4662-94c3-ea92a66a920a,crazybear578,inferno,Milton Morgan,male,29,8928,E Pecan St,Mississippi,Vernon,United States,50599,milton.morgan@example.com,(222) 407-5835,(300) 587-5436,https://randomuser.me/api/portraits/men/50.jpg
88eeeeb8-630d-4a09-9ae0-fa579ea28543,bigfish665,635241,Joel Fuller,male,43,184,York Road,Cork,Cobh,Ireland,44260,joel.fuller@example.com,031-074-4686,081-050-4399,https://randomuser.me/api/portraits/men/40.jpg
843492b3-56ca-49e9-955a-a51bebc90c95,greensnake351,1944,Çetin Çankaya,male,56,2644,Istiklal Cd,Kahramanmaraş,Sakarya,Turkey,58580,cetin.cankaya@example.com,(228)-995-4762,(281)-855-2883,https://randomuser.me/api/portraits/men/83.jpg
298efc2c-9bea-4fc2-9011-46f5a5124b3e,blackelephant261,pajero,Domas Rosenberg,male,48,5222,Tyristubbveien,Oppland,Sveggen,Norway,2413,domas.rosenberg@example.com,36336618,49342944,https://randomuser.me/api/portraits/men/52.jpg
15e36562-fa94-41e1-b1dc-784f672e172e,orangeduck236,lorraine,پوریا حیدری,male,27,8353,شهید عباس افضلی,مرکزی,زنجان,Iran,21515,pwry.hydry@example.com,052-90673876,0957-238-4617,https://randomuser.me/api/portraits/men/42.jpg
16ef8b7a-45d7-4a39-a521-cdde0441f942,greenbear161,alberto,Isabella Barstad,female,51,4850,Bestumveien,Nordland,Askim,Norway,6719,isabella.barstad@example.com,70490927,90854849,https://randomuser.me/api/portraits/women/7.jpg
ad16cb02-61c6-4007-861f-18c35712bc1c,organicgoose171,mickey,Daniel Nielsen,male,24,3497,Skovkrogen,Midtjylland,Viby J.,Denmark,76627,daniel.nielsen@example.com,14081743,02043309,https://randomuser.me/api/portraits/men/44.jpg
d282ae62-e623-470a-968f-aa62f944094b,bigfrog812,electra,Anabel Ballesteros,female,36,5396,Cerrada Madrigal,Tabasco,Hueytepec,Mexico,87818,anabel.ballesteros@example.com,(656) 967 1042,(650) 052 5442,https://randomuser.me/api/portraits/women/24.jpg
f2145a28-3fc6-4a5b-9efb-78d9ad723314,lazybutterfly907,maker,Katalina Babić,female,58,9146,Nebojše Markovića,Kosovska Mitrovica,Rača,Serbia,74427,katalina.babic@example.com,010-5555-736,068-9029-758,https://randomuser.me/api/portraits/women/95.jpg
a214a27c-954d-4bd2-8927-1b0370c91437,biggorilla971,nine,Sniezka Voytenko,female,55,715,Provulok Kerchenskiy,Chernivecka,Borzna,Ukraine,89153,sniezka.voytenko@example.com,(099) I77-1434,(098) K45-1572,https://randomuser.me/api/portraits/women/30.jpg
a479a8c3-a839-4d94-9ca2-20963a4e261e,ticklishkoala475,sage,Jaxon Williams,male,29,7784,White Swan Road,Hawke'S Bay,Porirua,New Zealand,10009,jaxon.williams@example.com,(160)-725-5250,(573)-971-1979,https://randomuser.me/api/portraits/men/4.jpg
9d1d6304-6692-4db7-a3b0-8b9c89c35089,blackleopard712,plumber,Ivy Zhang,female,78,6502,Elizabeth Street,Canterbury,Upper Hutt,New Zealand,72385,ivy.zhang@example.com,(481)-844-5942,(714)-088-4347,https://randomuser.me/api/portraits/women/10.jpg
a92ede8e-14de-482c-a4f4-8fff36ec02d5,heavykoala662,teen,Haakon Svendsen,male,40,1764,Strandgata,Bergen,Hovin,Norway,6502,haakon.svendsen@example.com,70553159,97533544,https://randomuser.me/api/portraits/men/72.jpg
9bdff7bf-8d25-4efa-bf6c-b224ddbc4b81,ticklishfish855,irving,Natalia Pastor,female,58,4066,Calle del Pez,Comunidad de Madrid,Mérida,Spain,39124,natalia.pastor@example.com,982-112-947,624-135-440,https://randomuser.me/api/portraits/women/15.jpg
